CD_LOJA;CD_MERCADORIA;ST_LIBERA_SEM_ESTOQUE;DS_CURVA_ABC;NR_QTDE_PONTO_RESSUPRIMENTO;NR_QTDE_ESTOQUE_SEGURANCA;NR_QTDE_ESTOQUE;NR_QTDE_RESERVA;DT_UltimaAlteracao;UsuarioUltimaAlteracao;ST_MERCADORIA_COMPRADA
1;1261;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2007-07-10 11:12:42.903;GRACILENE;
1;1262;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2009-07-29 11:03:26.717;FLAVIA;
1;1263;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2008-05-13 17:44:47.997;GRACILENE;
1;1264;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2009-08-06 17:25:17.810;GRACILENE;
1;1265;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2013-11-06 11:13:18.013;ORANGE;
1;1266;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2009-06-03 15:22:59.437;GRACILENE;
1;1267;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2009-06-03 15:22:46.903;GRACILENE;
1;1268;S;;.0000000000;.0000000000;5.0000000000;.0000000000;2016-08-24 16:01:59.683;ORANGE;
1;1269;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2008-09-30 11:03:56.013;GRACILENE;
1;1270;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2007-08-20 12:41:46.043;GRACILENE;
1;1271;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2009-01-14 08:25:33.950;GRACILENE;
1;1272;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2009-01-12 15:23:33.077;GRACILENE;
1;1273;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2007-12-04 14:22:16.983;GRACILENE;
1;1274;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2007-07-23 14:27:31.950;GRACILENE;
1;1275;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2007-07-23 17:00:00.623;GRACILENE;
1;1276;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2007-07-23 15:36:59.263;GRACILENE;
1;1277;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2009-10-09 11:04:48.390;ORANGE;
1;1278;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2009-09-08 16:42:56.843;GRACILENE;
1;1279;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2007-08-03 09:36:49.510;GRACILENE;
1;1280;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2007-08-02 17:36:52.187;GRACILENE;
1;1281;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2009-01-29 15:30:59.450;GRACILENE;
1;1282;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2009-08-26 18:13:27.573;GRACILENE;
1;1283;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2008-02-21 17:08:38.060;GRACILENE;
1;1284;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2009-09-28 16:35:09.327;GRACILENE;
1;1285;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2009-05-06 09:33:13.593;GRACILENE;
1;1286;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2009-09-10 09:24:49.190;GRACILENE;
1;1287;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2009-10-09 11:04:48.510;ORANGE;
